models=Nomadic	selected=Random Walk	walkingtime=20	selected=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	maxpausetime=10	minspeed=5	selected=squarereflect	height=500	width=500	maxspeed=10	selected=NullPowerAlgorithm	locationinitializer=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	adr=0.05	maps=squarereflect	height=500	width=500	leadersmodeloffset=0.0,0.0,	sdr=0.05	pergrouprange=false	extratraces=true	groupsizes=1,1,	rangealgorithms=NullPowerAlgorithm	maxinitialdistance=30	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=10	maxsimulationtime=1000
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range	GroupNumber	Is Leader
1	0	305	404	7.5	3.47	0	0	true
1	1	286	402	7.66	3.27	0	0	false
1	2	303	417	7.55	3.39	0	0	false
1	3	332	421	7.38	3.68	0	0	false
1	4	318	382	7.47	3.21	0	0	false
1	5	320	402	7.66	3.45	0	0	false
1	6	298	386	7.82	3.27	0	0	false
1	7	449	50	5.31	1.5	0	1	true
1	8	452	49	5.21	1.4	0	1	false
1	9	465	23	5.33	1.39	0	1	false
1	10	308	402	5.56	1.43	0	1	false
1	11	308	402	5.54	1.28	0	1	false
1	12	308	402	5.58	1.78	0	1	false
1	13	308	402	5.49	1.24	0	1	false
1	14	308	402	5.28	1.76	0	1	false
2	0	298	401	7.5	3.47	0	0	true
2	1	279	402	7.68	3.2	0	0	false
2	2	295	415	7.45	3.27	0	0	false
2	3	326	418	7.39	3.63	0	0	false
2	4	311	381	7.27	3.5	0	0	false
2	5	313	399	7.48	3.7	0	0	false
2	6	290	385	7.12	3.78	0	0	false
2	7	449	55	5.31	1.5	0	1	true
2	8	453	54	5.19	1.2	0	1	false
2	9	466	28	5.38	1.44	0	1	false
2	10	301	400	5.52	1.46	0	1	false
